Service,Number,Name,Address,Dept,CP,Ville,Latitude,Longitude,WGS84
Vélib,19033,19033 - CAMBRAI,30 RUE DE CAMBRAI - 75019 PARIS,75,75019,PARIS,48.89594737,2.381133802,48.89594737
Vélib,19046,19046 - PORTE DE PANTIN,3 PLACE DE LA PORTE DE PANTIN - 75019 PARIS,75,75019,PARIS,48.88904007,2.395289462,48.88904007
Vélib,19020,19020 - MANIN HAUTPOUL,4-6 RUE GOUBET - 75019 PARIS,75,75019,PARIS,48.88466207,2.390209687,48.88466207
Vélib,19045,19045 - CANAL SAINT DENIS - BD MACDONALD,145 BOULEVARD MCDONALD - 75019 PARIS,75,75019,PARIS,48.89883019,2.379330109,48.89883019
Vélib,19040,19040 - TELEGRAPHE,265 RUE DE BELLEVILLE - 75019 PARIS,75,75019,PARIS,48.87563618,2.399461452,48.87563618
Vélib,19015,19015 - THIONVILLE,24 RUE DE THIONVILLE - 75019 PARIS,75,75019,PARIS,48.88915492,2.383375417,48.88915492
Vélib,20029,20029 - PORTE DES LILAS,57 RUE DES FRERES FLAVIEN - 75020 PARIS,75,75020,PARIS,48.87809928,2.411046299,48.87809928
Vélib,1116,01116 - OPÉRA PYRAMIDES,4 RUE DE VENTADOUR - 75001 PARIS,75,75001,PARIS,48.86681065,2.334388448,48.86681065
Vélib,2010,02010 - BOULEVARD MONTMARTRE,21 RUE D'UZES - 75002 PARIS,75,75002,PARIS,48.87077576,2.343163334,48.87077576
Vélib,2013,02013 - RICHELIEU DROUOT,20 RUE FAVART - 75002 PARIS,75,75002,PARIS,48.87144635,2.338290106,48.87144635
Vélib,3006,03006 - MAIRIE DU 3EME,10 RUE PERREE - 75003 PARIS,75,75003,PARIS,48.86453081,2.361579815,48.86453081
Vélib,5031,05031 - LACEPEDE,2 RUE LACEPEDE - 75005 PARIS,75,75005,PARIS,48.84367485,2.354615983,48.84367485
Vélib,11017,11017 - ALEXANDRE DUMAS,FACE 77 BOULEVARD DE CHARONNE - 75011 PARIS,75,75011,PARIS,48.85417604,2.396093495,48.85417604
Vélib,11001,11001 - BASTILLE RICHARD LENOIR,2 BOULEVARD RICHARD LENOIR - 75011 PARIS,75,75011,PARIS,48.85384823,2.369701488,48.85384823
Vélib,12015,12015 - NATION PICPUS,FACE 67 BOULEVARD DE PICPUS - 75012 PARIS,75,75012,PARIS,48.84696436,2.399868277,48.84696436
Vélib,12042,12042 - MONTEMPOIVRE,36-38 boulevard Soult - 75012 PARIS,75,75012,PARIS,48.84039817,2.409229421,48.84039817
Vélib,21005,21005 - MORIZET (BOULOGNE-BILLANCOURT),20 AVENUE ANDRE MORIZET - 92100 BOULOGNE-BILLANCOURT,92,92100,BOULOGNE-BILLANCOURT,48.83495398,2.241688247,48.83495398
Vélib,21102,21102 - NATIONS UNIES (CLICHY),PLACE DES NATIONS UNIES - 92110 CLICHY,92,92110,CLICHY,48.89710985,2.309900498,48.89710985
Vélib,33001,33001 - EMGP (AUBERVILLIERS),EMGP AVENUE DE PORTE DE PARIS / PARKING 264 - 93300 AUBERVILLIERS,93,93300,AUBERVILLIERS,48.90318341,2.368025613,48.90318341
